Final Ranking,Final Score,Show Order,Country,Artist,Song Title,Video ID,Year
1,365,10,Sweden,Måns Zelmerlöw,Heroes,5sGOwFVUU0I,2015
2,303,25,Russia,Polina Gagarina,A Million Voices,Q2gbKglCL5s,2015
3,292,27,Italy,Il Volo,Grande Amore,1TOMqZV2jA8,2015
4,217,13,Belgium,Loïc Nottet,Rhythm Inside,IjH-HYAFICg,2015
5,196,12,Tonight Again,Australia,Guy Sebastian,H0EhhZWXTng,2015
6,186,19,Love Injected,Latvia,Aminata,-usdXbeGHi8,2015
7,106,4,Estonia,Elina Born & Stig Rästa,Goodbye To Yesterday,Xsx_dIJOtgI,2015
8,102,9,Norway,Mørland & Debrah Scarlett,A Monster Like Me,U1td70yaoS8,2015
9,97,3,Israel,Nadav Guedj,Golden Boy,-w-2K9U8UIs,2015
10,53,8,Serbia,Bojana Stamenov,Beauty Never Lies,c40kVKIoPvE,2015
11,51,23,Georgia,Nina Sublatti,Warrior,gWgDzQ0mWTg,2015
12,49,24,Azerbaijan,Elnur Huseynov ,Hour Of The Wolf,IcVrAFtc5YI,2015
13,44,16,Montenegro,Knez  Adio, Adio,vrYmyTJ87vI,2015
14,39,1,Slovenia,Maraaya,Here For You,y1c7gDOaFY0,2015
15,35,20,Romania,Voltaj,De La Capat,o7iOFkEymXA,2015
16,34,6,Armenia,Genealogy,Face The Shadow,Z6O8pr7HH94,2015
17,34,26,Albania,Elhaida Dani ,I'm Alive,lZJdWUmxxZw,2015
18,30,7,Lithuania,Monika Linkytė and Vaidas Baumila,This Time,xtB_slM63JA,2015
19,23,15,Greece,Maria Elena Kyriakou  ,One Last Breath,1RZ2JGC9Nlw,2015
20,19,22,Hungary,Boggie,Wars For Nothing,MdybVsBESQc,2015
21,15,21,Spain,Edurne  ,Amanecer,NsMiJJlElAY,2015
22,11,11,Cyprus,John Karayiannis,One Thing I Should Have Done,RUNEoMBLGc8,2015
23,10,18,Poland,Monika Kuszyńska,In The Name Of Love,TReYIZYloSg,2015
24,5,5,United Kingdom,Electro Velvet,Still In Love With You,s6r1tUhl1cQ,2015
25,4,2,France,Lisa Angell,N'oubliez Pas,tJful-Jtc9o,2015
26,0,14,Austria,The Makemakes,I Am Yours,-f993p0CAV8,2015
27,0,17,Germany,Ann Sophie,Black Smoke,DGMJOchTRPc,2015
1,290,11,Austria,Conchita Wurst,Rise Like a Phoenix,SaolVEJEjV4,2014
2,238,24,Netherlands,The Common Linnets,Calm After The Storm,bWe8PRsW4T0,2014
3,218,13,Sweden,Sanna Nielsen,Undo,5PQJI-3LW-8,2014
4,174,7,Armenia,Aram MP3,Not Alone,ChkJpnOgIwQ,2014
5,143,21,Hungary,András Kállay-Saunders,Running,T_RxJZ3N9kE,2014
6,113,1,Ukraine,Mariya Yaremchuk,Tick - Tock,slHboKF9PIQ,2014
7,89,15,Russia,Tolmachevy Sisters,Shine,f7HKBlAzN5I,2014
8,88,5,Norway,Carl Espen,Silent Storm,BTMli8U17MM,2014
9,74,23,Denmark,Basim,Cliche Love Song,fn8DzOcpQas,2014
10,74,19,Spain,Ruth Lorenzo,Dancing in the rain,-OtuM3Zvkeo,2014
11,72,18,Finland,Softengine,Something Better,3FDWaFfo1CU,2014
12,72,6,Romania,Paula Seling & OVI,Miracle,qN2h6__yJGQ,2014
13,64,20,Switzerland,Sebalter,Hunter Of Stars,DqjoM8ZlyMc,2014
14,62,9,Poland,Donatan & Cleo,My Słowianie - We Are Slavic,VJ920cN2HmA,2014
15,58,4,Iceland,Pollapönk,No Prejudice,V5ZG378DH1c,2014
16,43,2,Belarus,Teo,Cheesecake,tImGMW-4eHY,2014
17,40,26,United Kingdom,Molly,Children of the Universe,C6w7tmWvm6M,2014
18,39,12,Germany,Elaiza,Is it right,BFuGH2Kp9dI,2014
19,37,8,Montenegro,Sergej Ćetković,Moj Svijet,6FJtzRSKHKg,2014
20,35,10,Greece,Freaky Fortune feat. RiskyKidd,Rise Up,c9y6A1uXLn8,2014
21,33,16,Italy,Emma,La Mia Città,8W5ZlalAMV8,2014
22,33,3,Azerbaijan,Dilara Kazimova,Start A Fire,5mPUMPcFQAY,2014
23,32,22,Malta,Firelight,Coming Home,E_hT08vzHt8,2014
24,14,25,San Marino,Valentina Monetta,Maybe (Forse),_eZNTBJ-Hyc,2014
25,9,17,Slovenia,Tinkara Kovač,Round and round,CiwM1sY3u0s,2014
26,2,14,France,TWIN TWIN,Moustache,vjkqciwP034,2014
1,281,18,Denmark,Emmelie de Forest,Only Teardrops,k59E7T0H-Us,2013
2,234,20,Azerbaijan,Farid Mammadov,Hold Me,iN3d_V7KVLE,2013
3,214,22,Ukraine,Zlata Ognevich,Gravity,BMxpv8naRd8,2013
4,191,24,Norway,Margaret Berger,I Feed You My Love,gjm-kCOMaPY,2013
5,174,10,Russia,Dina Garipova,What If,wHNwk3Oez8U,2013
6,152,21,Greece,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,_AfrOZersNk,2013
7,126,23,Italy,Marco Mengoni,L'Essenziale,S8oaxDV1q6o,2013
8,120,9,Malta,Gianluca,Tomorrow,VK4TvZeL6c0,2013
9,114,13,Netherlands,Anouk,Birds,n5iazXvMw5o,2013
